ID,Line,CMP,Freq,AmpKurt,AmpSlp,CIP,CndWtFreq,CompAbs,DomPowS,IDomFreq,InfoEntr,MaxPkAmp,RelQ,RespBand,SValue
419,1394,1472,35.2092,20343.6,-0.0198687,0.0430508,32.2239,13379.1,36,33.037,264.904,6197.21,4.61486,7.78479,29.75
420,1394,1473,34.2718,20997,-0.0183828,0.0479771,32.364,13762.8,35,32.1108,269.546,6217.23,4.01412,8.74591,29.75
421,1395,1471,34.0938,20755.4,-0.0220855,0.0396727,31.8879,12679.3,36,32.0903,273.073,6149.01,5.91448,5.52382,29.75
422,1395,1472,34.2381,22896.6,-0.0205136,0.0316081,31.9981,14267.4,35,33.9407,279.063,6847.2,5.14811,7.69836,29.75
423,1395,1473,34.1116,21440.6,-0.0185378,0.00482428,31.248,14137.9,26,34.459,275.253,6479.97,4.25296,9.98618,29.75
424,1414,1216,36.3503,4364.46,-0.0102893,0.104304,25.3185,8120.29,17,31.0549,227.781,5512.56,3.61389,12.8581,30
425,1414,1217,20.8356,4107.81,-0.00925281,0.122697,23.4172,7852.13,19,26.6693,224.857,5226.53,3.94864,8.39451,30
426,1414,1218,19.1835,4200,-0.0108311,0.0509478,21.303,7453.34,19,24.1336,218.236,5046.8,4.87566,7.08236,30
427,1415,1216,25.2227,4594.6,-0.0110663,0.0339306,24.7175,7775.03,18,27.5236,215.634,5578.51,4.1863,9.89246,30
428,1415,1217,24.6357,4253.55,-0.00986096,0.127746,24.845,8090.6,19,28.4741,226.762,5571.89,4.59995,9.2742,30
429,1415,1218,20.7334,4046.11,-0.011395,0.081147,22.7645,7424,17,26.025,218.724,5056.25,4.48248,8.89003,30
430,1416,1216,24.2702,4769.8,-0.0119076,0.0155981,23.2421,7383.4,17,26.6402,216.577,5407.68,3.81348,9.35548,30
431,1416,1217,42.0141,4827.74,-0.0109369,0.14018,25.4253,8219.76,18,29.919,227.112,5894.39,4.86938,10.2667,30
432,1416,1218,38.5883,4248.16,-0.0108155,0.150518,24.7937,7500.29,19,29.5349,223.833,5210.83,4.7594,10.6956,30
433,1434,928,39.8445,2595.55,-0.00331808,-0.0825641,36.29,6272.65,40,36.5786,294.711,3484.12,5.96207,4.61483,33.5
434,1434,929,38.3368,2946.75,-0.00324829,-0.121279,36.0701,6732.5,38,36.3967,285.681,4157.21,4.18972,6.61078,33.5
435,1434,930,38.6508,2007.33,-0.00319256,-0.104893,36.4725,5624.56,39,35.4119,288.886,3336.47,5.37869,4.5445,33.5
436,1435,928,38.9256,2880.29,-0.00342211,-0.0767075,35.0143,6705.09,40,36.5878,295.996,3833.09,5.4785,5.45204,33.5
437,1435,929,39.5414,2262.93,-0.0026907,-0.129916,36.362,5919.13,40,36.0271,283.302,3629.84,4.2566,6.25425,33.5
438,1435,930,38.8928,1900.74,-0.00225213,-0.110286,35.9752,5424.36,39,35.6471,289.122,3120.56,5.33234,4.86904,33.5
439,1436,928,38.1143,2591.52,-0.00294321,-0.0519947,34.0676,6510.57,39,36.7103,299.351,3706.14,5.18939,6.28725,33.5
440,1436,929,39.9816,1985.06,-0.00290998,-0.112293,36.5917,5279.87,40,36.3786,278.838,3289.34,4.40775,6.23517,33.5
441,1436,930,39.0117,2094.63,-0.00262345,-0.115212,35.9701,5684.05,39,35.8661,288.268,3346.2,4.89723,5.35283,33.5
442,1456,1180,21.7777,3849.67,-0.00890123,0.142135,21.6983,7363.75,21,28.9232,203.238,4759.31,2.05105,9.45257,16.125
443,1456,1181,25.358,3658.86,-0.00971174,0.173928,20.5824,6918.89,12,30.1955,198.993,4385.34,3.16355,8.15134,16.125
444,1456,1182,24.0648,4224.64,-0.00958131,0.206679,20.4919,7383.43,24,30.7254,207.421,4414.01,2.93659,8.77241,16.125
445,1457,1180,21.3879,4987.86,-0.00853654,0.118983,21.5305,8422.51,21,27.5968,220.62,5318.01,2.63937,7.49836,16.125
446,1457,1181,24.2547,4535.86,-0.00899019,0.164872,20.3821,7623.54,25,28.7179,191.615,4768.85,3.9203,6.35736,16.125
447,1457,1182,23.8832,5470.05,-0.0095173,0.172409,20.3036,8231.9,25,28.4626,203.922,4892.57,3.37985,7.14214,16.125
448,1458,1180,22.3267,4781.22,-0.00832279,0.136893,22.0643,8176.55,22,27.5832,222.099,5357.91,3.35697,7.0449,16.125
449,1458,1181,22.6921,4738.66,-0.0081095,0.144861,20.3113,7513.03,25,27.4817,216.202,4779.3,4.59799,5.34027,16.125
450,1458,1182,21.9759,5837.58,-0.00843952,0.110119,20.4799,8317.68,24,26.2836,223.389,4939.44,3.90846,5.3087,16.125
451,1488,946,41.1989,2445.39,-0.00274891,-0.138623,35.3003,6635.2,19,37.2186,272.677,4295.19,2.985,9.77533,4.25
452,1488,947,38.6264,3225.52,-0.00198768,-0.125307,32.2965,7496.32,22,38.1636,287.901,4841.16,3.19378,10.671,4.25
453,1488,948,38.0863,3629.25,-0.0014385,-0.094391,30.7461,8186.5,22,40.5162,298.562,5227.27,3.25724,13.462,4.25
454,1489,946,40.3049,2819.46,-0.00308623,-0.0935842,32.2798,6942,19,37.3424,293.576,4489.8,2.89066,10.7675,4.25
455,1489,947,38.5236,3457.92,-0.00221837,-0.0851763,30.8221,7666.35,20,38.2583,295.265,4867,3.3428,11.1144,4.25
456,1489,948,36.189,4076.21,-0.00195446,-0.0821703,29.4229,8626.64,21,40.9858,300.007,5481.68,3.22423,14.566,4.25
457,1490,946,40.3552,2443.11,-0.00335555,-0.0732449,30.0282,6297.33,17,38.3604,284.129,4030.92,2.67489,13.2499,4.25
458,1490,947,36.89,3667.01,-0.00329004,-0.0648918,27.8745,7896.23,19,38.4392,297.343,4930.68,3.58886,12.8536,4.25
459,1490,948,34.8974,3944.33,-0.00285186,-0.0812368,28.1366,8175.02,20,40.772,287.804,5374.04,3.14676,15.277,4.25
